gene,log2FC,p_value,mean_constant,mean_target,p_adjusted,regulation
MDM2,0.061316669321511696,0.5524021344794157,10.706145153371658,10.644828484050146,0.5769533404562786,Non significatif
PHGDH,-0.10206235917005024,0.6866208028202334,10.484874516500177,10.586936875670228,0.7015473420119777,Non significatif
BLVRA,-0.3765822171241666,0.019138105224312384,9.980871734269057,10.357453951393223,0.02193880354982151,Non significatif
TYMS,-0.5350039306551952,0.006442503937982779,8.74095574791304,9.275959678568235,0.007968360133820806,Surexprimé dans BRCA-Her2
MLPH,-0.5365092332186521,0.02974429974807556,11.414001003581363,11.950510236800016,0.033285287813322656,Surexprimé dans BRCA-Her2
GPR126,-0.6187692358450949,0.01657697547501664,8.308404210678878,8.927173446523973,0.019477946183144555,Surexprimé dans BRCA-Her2
TYRP1,-0.8560944874320686,0.08179719311313353,2.0113663629593037,2.8674608503913723,0.08940623433295991,Non significatif
PTTG1,-1.2182804670177703,3.404429705693841e-05,7.790286833771972,9.008567300789743,5.000256130237829e-05,Surexprimé dans BRCA-Her2
GPR160,-1.2546358505036164,1.507946496467701e-09,8.95437642924419,10.209012279747807,4.724899022265463e-09,Surexprimé dans BRCA-Her2
CDC20,-1.3353678043795583,5.090113223963028e-06,8.451053093324383,9.786420897703941,8.54411862593794e-06,Surexprimé dans BRCA-Her2
CCNE1,-1.39333891655673,4.3893898936707104e-08,5.8905547590470695,7.2838936756037995,9.377332954660154e-08,Surexprimé dans BRCA-Her2
CCNB1,-1.4326801273263374,8.86604890378782e-12,8.948227313417863,10.3809074407442,4.1043451352429874e-11,Surexprimé dans BRCA-Her2
CENPF,-1.4678058569869474,2.6070839089301046e-08,9.787956967702538,11.255762824689485,5.8349020818911865e-08,Surexprimé dans BRCA-Her2
KIF2C,-1.4689331521826627,8.545580163306943e-07,7.931562988197427,9.40049614038009,1.6735094486476098e-06,Surexprimé dans BRCA-Her2
FOXA1,-1.5766229812072776,4.489384405000369e-06,10.925669398861311,12.502292380068589,7.814854334630272e-06,Surexprimé dans BRCA-Her2
MKI67,-1.593446537071534,1.37377998733864e-08,9.892316133635125,11.48576267070666,3.587092189162004e-08,Surexprimé dans BRCA-Her2
CEP55,-1.6684149968659314,1.9391919438094367e-08,7.57920725920727,9.247622256073202,4.557101067952176e-08,Surexprimé dans BRCA-Her2
UBE2C,-1.670865516831002,3.0082133741562444e-06,8.115934098391016,9.786799615222018,5.65544114341374e-06,Surexprimé dans BRCA-Her2
CLCA2,-1.7034729988584303,0.005798087710621321,8.175037130445725,9.878510129304155,0.0073651384432216775,Surexprimé dans BRCA-Her2
ANLN,-1.7069623072560347,1.1841609332930651e-08,8.560952916842403,10.267915224098438,3.273856697927886e-08,Surexprimé dans BRCA-Her2
MMP11,-1.785197184543506,0.00013928400549466586,11.126636754497945,12.91183393904145,0.00019837418964391802,Surexprimé dans BRCA-Her2
MELK,-1.8143484820915923,1.4706118535930644e-08,7.166781090389124,8.981129572480716,3.637829322046002e-08,Surexprimé dans BRCA-Her2
UBE2T,-1.857147894576614,3.5407642900307417e-10,7.346991387821368,9.204139282397982,1.2801224740880374e-09,Surexprimé dans BRCA-Her2
TMEM45B,-1.8835761223620375,5.656994723018196e-06,7.2526824916368975,9.136258613998935,9.168232826960524e-06,Surexprimé dans BRCA-Her2
MYBL2,-1.9622218725901348,4.3846354521578674e-07,8.588114395350532,10.550336267940667,8.959907228322599e-07,Surexprimé dans BRCA-Her2
EXO1,-1.9893851447929825,9.605914146313375e-12,6.547790294012143,8.537175438805125,4.1043451352429874e-11,Surexprimé dans BRCA-Her2
CDC6,-2.092113781246762,7.782932094406592e-13,7.706433081674693,9.798546862921455,5.225682977672998e-12,Surexprimé dans BRCA-Her2
RRM2,-2.1060638799982385,1.9407368368823073e-10,8.962991522996935,11.069055402995174,7.601219277789037e-10,Surexprimé dans BRCA-Her2
FGFR4,-2.3154383567698957,3.824500740108174e-06,7.377016130281202,9.692454487051098,6.913520568657083e-06,Surexprimé dans BRCA-Her2
GRB7,-2.4253898352563663,9.841313251613778e-10,9.25136595770732,11.676755792963686,3.3038694487560543e-09,Surexprimé dans BRCA-Her2
ERBB2,-2.804721807978453,2.1659155404551645e-12,12.831843271796444,15.636565079774897,1.1310892266821415e-11,Surexprimé dans BRCA-Her2
